food_id,f_name,calories,protein,fat,carbs,ref_serving_size,cuisine,ingredients,allergens,dietary_restriction,flavor_profile,food_category
29,pear,57,0.4,0.1,15.3,100,fruits,pear,none,none,sweet,snack
30,popcorn,31,0.9,0.4,6.2,100,snacks,popcorn,none,none,savory,snack
31,pretzel,351,8.9,1.3,77.5,100,snacks,"flour, water, salt",none,none,savory,snack
32,strawberry,32,0.7,0.3,7.7,100,fruits,strawberry,none,none,sweet,snack
33,tomato,18,0.9,0.2,3.9,100,vegetables,tomato,none,none,savory,snack
34,waffle,291,6.1,13,38.3,100,breakfast,"flour, milk, butter, eggs",eggs,none,sweet,dessert
35,food-drinks,0,0,0,0,100,various,food-drinks,none,none,none,beverage
36,cheese,402,25,33,2.2,100,dairy,milk,none,none,savory,snack
37,cocktail,250,0.2,0,31,100,beverages,"alcohol, mixers",none,none,none,beverage
38,coffee,2,0.3,0,0.3,100,beverages,"coffee beans, water",none,none,bitter,beverage
39,cooking-spray,792,0,79,21,100,various,cooking-spray,none,none,none,none
40,crab,83,17.5,0.9,0,100,seafood,crab,none,none,savory,main
41,croissant,406,8,24,40,100,bakery,"flour, butter, sugar",none,none,savory,snack
42,cucumber,15,0.6,0.1,3.6,100,vegetables,cucumber,none,none,none,side
43,doughnut,452,5,25,49,100,bakery,"flour, sugar, butter",none,none,sweet,dessert
44,egg,78,6.3,5.3,0.6,100,various,eggs,none,none,none,main
45,fruit,0,0,0,0,100,various,fruit,none,none,none,none
46,grapefruit,52,0.6,0.2,13.4,100,citrus,grapefruit,none,none,sweet,snack
47,hamburger,250,12,10,30,100,fast food,"beef patty, bun",none,none,savory,main
48,honeycomb,304,0.3,0.1,82,100,various,honey,none,none,sweet,dessert
49,juice,54,0.6,0.2,13,100,various,fruit,none,none,sweet,dessert
50,lemon,29,1.1,0.3,9,100,citrus,lemon,none,none,none,snack
51,lobster,90,19,1.2,0.5,100,seafood,lobster,none,none,savory,main
52,mango,60,0.8,0.4,15,100,fruits,mango,none,none,sweet,snack
53,milk,60,3.3,3.6,4.7,100,dairy,milk,dairy,none,none,beverage
54,mushroom,22,3.1,0.3,3.3,100,vegetables,mushroom,none,"vegetarian, vegan",unami,side
55,oyster,68,9,2,3,100,seafood,oyster,none,none,salty,main
56,pasta,131,5,1.1,25.5,100,italian,"flour, water",gluten,none,none,main
57,pastry,300,6,15,35,100,bakery,"flour, butter, sugar",none,none,sweet,dessert
58,peach,39,0.9,0.3,9.5,100,fruits,peach,none,none,sweet,snack
59,pineapple,50,0.5,0.1,13,100,fruits,pineapple,none,none,sweet,snack
60,pizza,285,12,10,36,100,italian,"dough, sauce, cheese, toppings","gluten, dairy",none,savory,main
61,pomegranate,83,1.7,1.2,18.7,100,fruits,pomegranate,none,none,sweet,snack
62,potato,77,2,0.1,17,100,vegetables,potato,none,none,none,side
63,pumpkin,26,1,0.1,7,100,vegetables,pumpkin,none,none,none,none
64,radish,16,0.6,0.1,3.4,100,vegetables,radish,none,none,spicy,side
65,salad,100,2.5,6.8,8.6,100,various,"lettuce, vegetables, dressing",none,"vegetarian, vegan",none,appetizer
66,food,0,0,0,0,100,various,food,none,none,none,none
67,sandwich,250,12,10,30,100,various,"bread, meat, cheese, vegetables",none,none,savory,main
68,shrimp,85,18,1.1,0.2,100,seafood,shrimp,none,none,unami,main
69,squash,18,1.2,0.2,4,100,vegetables,squash,none,none,none,side
70,squid,79,13.2,1.2,2.6,100,seafood,squid,none,none,savory,main
71,submarine-sandwich,450,20.5,19.7,49.8,100,sandwiches,"bread, deli meat, cheese, vegetables",none,none,savory,main
72,sushi,130,3,0.6,28.1,100,japanese,"rice, fish, vegetables",none,none,unami,main
73,taco,170,9,10,12,100,mexican,"tortilla, meat, cheese, vegetables",none,none,savory,main
74,tart,300,5,18,30,100,bakery,"flour, butter, sugar, filling",none,none,sweet,dessert
75,tea,2,0,0,0.5,100,beverages,water,none,none,none,beverage
76,vegetable,0,0,0,0,100,vegetables,vegetables,none,none,none,none
77,watermelon,30,0.6,0.2,7.6,100,fruits,watermelon,none,none,none,none
78,wine,83,0.1,0,2.6,100,beverages,wine,none,none,none,beverage
79,winter-melon,16,0.6,0.2,3.7,100,fruits,winter-melon,none,none,none,snack
80,zucchini,17,1.2,0.3,3.1,100,vegetables,zucchini,none,none,none,side
81,banh_mi,450,14,22,47,100,vietnamese,"baguette, meat, pickled vegetables",none,none,savory,sandwich
82,banh_trang_tron,250,5,3,52,100,vietnamese,"rice paper, toppings",none,none,savory,snack
83,banh_xeo,250,6,10,27,100,vietnamese,"rice flour batter, shrimp, bean sprouts",none,none,savory,main
84,bun_bo_hue,400,16,12,58,100,vietnamese,"rice noodles, spicy beef broth",none,none,spicy,main
85,bun_dau,350,14,20,30,100,vietnamese,"rice noodles, fried tofu, shrimp paste",none,none,savory,main
86,com_tam,600,25,20,80,100,vietnamese,"broken rice, grilled meat, pickled vegetables",none,none,savory,main
87,goi_cuon,120,5,0.9,24,100,vietnamese,"rice paper, shrimp, vegetables",none,none,none,appetizer
88,pho,450,20,10,65,100,vietnamese,"rice noodles, beef, broth",none,none,savory,main
89,hu_tieu,250,8,3,50,100,vietnamese,"rice noodles, pork, seafood",none,none,savory,main
90,xoi,150,4,2,30,100,vietnamese,"sticky rice, toppings",none,none,savory,main
