"food_id","f_name","calories","protein","fat","carbs","serving_size","ingredients","allergens","dietary_restriction","flavor","f_catogory","cuisine"
14,"beer",153,6,0,52,356,"water, malted barley, hops, yeast","gluten","None","bitter, sweet, sour, malty","beverage","all"
15,"bibimbap",972,144,198,620,864,"rice, carrots, spinash, bean sprouts, mushrooms, beef, fried egg","None","None","savory, sweet, spicy","main","korean"
16,"biscotti",87,6,28,52,22,"flour, sugar, eggs, almonds","gluten, nuts, eggs","vegan","sweet, nutty, crunchy","dessert","italian"
17,"brisket",246,96,144,0,85,"beef brisket, salt, pepper, seasonings","None","vegetarian, vegan","smoky, savory, sweet","main","american, jewish"
18,"brownies",233,12,135,100,50,"flour, sugar, eggs, butter, cocoa powder, vanilla extract, baking powder, salt","dairy, eggs, gluten ","vegan, vegetarian, gluten_intolerance","sweet, chocolatey, bitter","dessert","american"
19,"burger",540,136,243,160,226,"meat patty, bun, lettuce, tomato, onion, pickles, cheeses, bacon, ketchup, mustard, mayo","gluten, dairy, soybeens, eggs","vegan, vegetarian, gluten_intolerance","sweet, savory","main","american, british"
20,"burrito",434,68,144,224,241,"flour tortilla, rice, beans, cheese, meat, vetetables, lettuce, tomatoes, onions","dairy, gluten, peanuts","vegetarian, vegan, halal, kosher","spicy, sweet","main, appetizer","mexican"
21,"calzone",1306,264,810,220,424,"tomato sauce, mozzarella cheese, meat, pizza dough","dairy","vegetarian, vegan gluten_intolerance","savory, salty, spicy","main","italian"
22,"caprese_salad",220,52,153,18,161,"fresh mozzarella cheese, tomatoes, basil leaves, black pepper, olive oil","dairy","vegan","fresh, tangy","appetizer, side","italian"
23,"cheesecake",401,27,252,128,125,"cream cheese, sugar, eggs","dairy, gluten, eggs","vegan, vegetarian, halal, koscher","sweet","dessert","all"
24,"chicken_nuggets",49,10,29,9,16,"chicken meat, breadcrumbs, seasoning, vegetable oil","gluten, soybeans, eggs","vegetarian, vegan","savory, salty","appetizer, snack, main","all"
25,"chili",566,144,306,116,480,"chili peppers, meat, beans, onions, tomatoes, ground beef, cumin, paprika","peanuts, dairy, gluten","vegetarian, vegan","spicy","main, toppings","american"
26,"chow_mein",295,72,135,88,295,"flour noodles, vegetables, onions, casrrots, celery, protein source","gluten, soybeans, shellfish","gluten_intolerance, vegan, vegetarian","savory, spicy, sweet","main","chinese"
27,"chowder",201,26,90,84,254,"seafood, potatoes, onions, milk, cream","shellfish, dairy","vegetarian, vegan","creamy, savory, sweet","main, appetizer","british, canadian, american"
28,"churros",103,2,69,33,26,"flour, water, sugar, eggs, milk, butter, dough, cinnamon sugar","peanuts, dairy, gluten, eggs","vegan, gluten_intolerance","sweet, cinnamony","dessert, snack","spainsh, portugal, latin american, american"
29,"coffee",2,1,0,0,237,"roasted coffee beans, water, milk, cream","None","None","bitter","beverage","all"
30,"coleslaw",174,4,117,56,110,"cabbage, carrots, mayonnaise, vinegar, sugar, seasoning","eggs, peanuts, gluten","koscher, halal","sweet, tangy, creamy","side, salad","american"
31,"cookies",148,6,66,80,30,"flour, sugar, butter, margarine, eggs, baking powder","peanuts, tree nuts, dairy, eggs, gluten, soybeans","vegetarian, vegan, hala, kosher, gluten_intolerence","sweet, salty","snack, dessert, appetizer","all"
32,"creme_brulee",687,33,540,120,200,"heavy cream, egg yolks, granulated sugar, vanilla extract","dairy","vegans, lactose_intolerance","sweet, creamy","dessert","french"
33,"crepes",106,15,47,40,64,"flour, eggs, milk, butter, sugar, vanilla extract, salt, lemon zest","milk, eggs, gluten","vegetarians, halal","sweet, savory","main, appetizer","french, all"
34,"cupcakes",292,10,135,160,75,"flour, eggs, sugar, butter, oil, milk, baking powder, cooa powder, vanilla extract, fruit","peanuts, tree nuts, dairy, eggs, gluten, soybeans","vegetarians, vegan, halal, kosher","sweet, savory","dessert","all"
35,"donut",253,14,126,116,60,"flour, sugar, eggs, milk, butter, yeast","peanuts, tree nuts, dairy, eggs, gluten","vegetarians, vegan, halal, kosher","sweet, savory","dessert, breakfast, snack","american, european, asian"
36,"falafel",83,4,65,14,20,"chickpeas, onion, garlic, parsley, cilantro, cumin, coriander, salt, baking powder","None","halal, kosher","savory, nutty","main, appetizer, snack","middle eastern, mediterranean"
37,"fish_and_chips",688,172,234,284,513,"fish, batter, potatoes","gluten, dairy, fish","vegetarian, vegan, halal, kosher","salty, savory, tart, umami","main, appetizer, side","british"
38,"french_toast",219,29,99,92,84,"bread, eggs, milk, spices, butter","dairy, gluten","vegan, halal, kosher","sweet, spiced, buttery","breakfast, dessert","french"
39,"fruit_salad",97,5,4,96,162,"fruits, strawberries, blueberries, raspberries, kiwi, pineapple, melon","None","None","fruity, sweet, sour","dessert, appetizer, side","american, european, asian"
40,"gyros",73,26,42,2,28,"meat, pita bread, tomatoes, onions, lettuce, tzatziki sauce","dairy, gluten, soybeans","vegetarian, vegan, halal, kosher","savory, salty","main, appetizer, snack","greek"
41,"ice_cream",273,18,135,124,132,"milk, cream, sugar, chocolate","dairy, nuts, soybeens, gluten","vegan, gluten_intolerance","sweet, savory","dessert","all"
42,"lasagne",602,176,288,140,385,"lasagne pasta sheets, ground meat, tomato sauce, mozzarella cheese, ricotta cheese, parmesan cheese, herbs","dairy, gluten soybeans","vegetarian, vegan, gluten_intolerance","savory, rich, cheesy, spicy","main","italian"
43,"lobster_roll",507,168,198,132,254,"lobster neat, hot dog bun, butter, mayonnaise","shellfish, dairy, eggs","vegetarian, vegan, gluten_intolerance, halal, kosher","sweet, savory","main","new england"
44,"macarons",43,3,17,24,11,"egg whites, almond flour, sugar ","dairy, eggs, tree nuts","gluten_intolerance, vegan","sweet","dessert","french"
45,"nachos",1234,268,864,104,550,"tortilla chips, cheese, jalapenos, beans","dairy, gluten","None","salty, spicy, umami","appetizer, snack, main","maxican"
46,"omelet",323,84,225,5,178,"eggs, milk, cream, salt, pepper, butter, cheese, ham, herbs, spices","dairy","vegan, vegetarian, halal, kosher","sweet, savory","main","all"
47,"paella",442,100,198,136,241,"short-grain rice, saffron, meats, chicken, rabiit, seafood, vegetables, tomatoes, peas, bell peppers","fish","vegetarian, vegan, halal, kosher","savory","main","spanish"
48,"pancakes",91,10,35,44,40,"batter of flour, eggs, milk, sugar, butter, butter, syrup","dairy, eggs, gluten, nuts","vegan, gluten_intolerance","sweet, savory","main","american"
49,"sushi",349,31,171,152,211,"raw seafood, vegetbles, egg, tuna, salmon, shrimp, eel, nori, wasabi, soy sauce","fish, soybeans","vegetarian, vegan","savory","main, appetizer","japaneses"
